epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0017,1.96427,4.58915,1.53444,0.00478,0.66368,0.04376,0.01696,1.91032,4.91675,1.3874,0.00018337,0.00018337,0.00018337
2,132.044,1.94933,3.32181,1.35553,0.00517,0.73094,0.09273,0.03703,1.91031,5.27323,1.34127,0.000256885,0.000256885,0.000256885
3,196.01,1.8458,3.15791,1.36423,0.00513,0.713,0.12617,0.05758,1.9241,4.9388,1.34268,0.000198373,0.000198373,0.000198373
