epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1261.16,1.70945,2.29935,1.48729,0.32135,0.36137,0.27107,0.12773,1.73416,2.40557,1.557,0.000553389,0.000553389,0.000553389
2,2637.38,1.72893,2.04777,1.52786,0.46761,0.47006,0.42078,0.20908,1.65452,2.06642,1.51207,0.000743068,0.000743068,0.000743068
3,5252.31,1.68632,1.90897,1.49991,0.53947,0.49708,0.48614,0.26095,1.58643,1.78631,1.4166,0.000566006,0.000566006,0.000566006
